"country"	"year"	"pop"	"gdpen"
"CUBA"	1949	5399	2.372
"CUBA"	1950	5516	2.443
"CUBA"	1951	5638	2.481
"CUBA"	1952	5759	2.514
"CUBA"	1953	6129	2.443
"CUBA"	1954	6254	2.401
"CUBA"	1955	6381	2.465
"CUBA"	1956	6513	2.527
"CUBA"	1957	6641	2.695
"CUBA"	1958	6763	2.708
"CUBA"	1959	6901	2.775
"CUBA"	1960	7027	2.821
"CUBA"	1961	7134	2.901
"CUBA"	1962	7254	3.035
"CUBA"	1963	7415	2.922
"CUBA"	1964	7612	2.998
"CUBA"	1965	7810	2.989
"CUBA"	1966	7985	3.069
"CUBA"	1967	8139	3.115
"CUBA"	1968	8284	3.127
"CUBA"	1969	8421	3.242
"CUBA"	1970	8551	3.308
"CUBA"	1971	8692	3.206
"CUBA"	1972	8862	3.238
"CUBA"	1973	9036	3.305
"CUBA"	1974	9194	3.312
"CUBA"	1975	9299	3.524
"CUBA"	1976	9430	3.384
"CUBA"	1977	9547	3.606
"CUBA"	1978	9644	3.645
"CUBA"	1979	9701	3.688
"CUBA"	1980	9734	3.794
"CUBA"	1981	9774	3.886
"CUBA"	1982	9801	3.841
"CUBA"	1983	9897	3.808
"CUBA"	1984	9994	3.909
"CUBA"	1985	10098	3.833
"CUBA"	1986	10199	3.913
"CUBA"	1987	10301	3.9
"CUBA"	1988	10412	3.99
"CUBA"	1989	10523	4.059
"CUBA"	1990	10634	3.98
"CUBA"	1991	10736	3.986
"CUBA"	1992	10810	NA
"CUBA"	1993	10869	NA
"CUBA"	1994	10916	NA
"CUBA"	1995	10964	NA
"CUBA"	1996	11019	NA
"CUBA"	1997	11059	NA
"CUBA"	1998	11103.21	NA
"CUBA"	1999	NA	NA
"HAITI"	1945	2928	NA
"HAITI"	1946	2960	0.765
"HAITI"	1947	3024	0.765
"HAITI"	1948	3060	0.767
"HAITI"	1949	3097	0.859
"HAITI"	1950	3149	0.856
"HAITI"	1951	3188	0.861
"HAITI"	1952	3251	0.82
"HAITI"	1953	3302	0.892
"HAITI"	1954	3354	0.867
"HAITI"	1955	3407	0.919
"HAITI"	1956	3460	0.898
"HAITI"	1957	3514	0.889
"HAITI"	1958	3568	0.919
"HAITI"	1959	3623	0.929
"HAITI"	1960	3857	0.924
"HAITI"	1961	3923	0.879
"HAITI"	1962	3990	0.908
"HAITI"	1963	4058	0.889
"HAITI"	1964	4127	0.878
"HAITI"	1965	4197	0.894
"HAITI"	1966	4256	0.892
"HAITI"	1967	4316	0.837
"HAITI"	1968	4377	0.839
"HAITI"	1969	4437	0.849
"HAITI"	1970	4535	0.834
"HAITI"	1971	4598	0.894
"HAITI"	1972	4677	0.882
"HAITI"	1973	4757	0.856
"HAITI"	1974	4838	0.883
"HAITI"	1975	4920	0.843
"HAITI"	1976	5003	0.911
"HAITI"	1977	5087	0.92
"HAITI"	1978	5173	0.943
"HAITI"	1979	5261	0.966
"HAITI"	1980	5353	1.033
"HAITI"	1981	5448	1.01
"HAITI"	1982	5546	0.933
"HAITI"	1983	5648	0.927
"HAITI"	1984	5754	0.902
"HAITI"	1985	5865	0.911
"HAITI"	1986	5980	0.902
"HAITI"	1987	6099	0.882
"HAITI"	1988	6221	0.849
"HAITI"	1989	6346	0.834
"HAITI"	1990	6486	0.8514423
"HAITI"	1991	6625	0.83553
"HAITI"	1992	6760	0.7114388
"HAITI"	1993	6860.56	0.6801003
"HAITI"	1994	7009.04	0.610525
"HAITI"	1995	7168	0.6234546
"HAITI"	1996	7336	0.625609
"HAITI"	1997	7492	0.6211285
"HAITI"	1998	7634.67	0.6272816
"HAITI"	1999	NA	0.6282651
"DOMINICAN REP."	1945	1889	NA
"DOMINICAN REP."	1946	1935	0.668
"DOMINICAN REP."	1947	1982	0.731
"DOMINICAN REP."	1948	2036	0.782
"DOMINICAN REP."	1949	2095	0.911
"DOMINICAN REP."	1950	2435	0.949
"DOMINICAN REP."	1951	2514	1.065
"DOMINICAN REP."	1952	2594	1.065
"DOMINICAN REP."	1953	2674	1.024
"DOMINICAN REP."	1954	2753	1.059
"DOMINICAN REP."	1955	2833	1.082
"DOMINICAN REP."	1956	2939	1.155
"DOMINICAN REP."	1957	3044	1.197
"DOMINICAN REP."	1958	3149	1.223
"DOMINICAN REP."	1959	3254	1.163
"DOMINICAN REP."	1960	3325	1.195
"DOMINICAN REP."	1961	3421	1.143
"DOMINICAN REP."	1962	3520	1.354
"DOMINICAN REP."	1963	3622	1.439
"DOMINICAN REP."	1964	3727	1.504
"DOMINICAN REP."	1965	3835	1.271
"DOMINICAN REP."	1966	3945	1.414
"DOMINICAN REP."	1967	4060	1.396
"DOMINICAN REP."	1968	4178	1.369
"DOMINICAN REP."	1969	4298	1.464
"DOMINICAN REP."	1970	4423	1.536
"DOMINICAN REP."	1971	4548	1.652
"DOMINICAN REP."	1972	4672	1.792
"DOMINICAN REP."	1973	4797	1.916
"DOMINICAN REP."	1974	4922	2.079
"DOMINICAN REP."	1975	5048	1.961
"DOMINICAN REP."	1976	5175	2.057
"DOMINICAN REP."	1977	5301	2.098
"DOMINICAN REP."	1978	5429	2.092
"DOMINICAN REP."	1979	5561	2.102
"DOMINICAN REP."	1980	5697	2.343
"DOMINICAN REP."	1981	5837	2.285
"DOMINICAN REP."	1982	5982	2.256
"DOMINICAN REP."	1983	6129	2.283
"DOMINICAN REP."	1984	6275	2.157
"DOMINICAN REP."	1985	6416	2.111
"DOMINICAN REP."	1986	6554	2.16
"DOMINICAN REP."	1987	6688	2.231
"DOMINICAN REP."	1988	6820	2.307
"DOMINICAN REP."	1989	6948	2.43
"DOMINICAN REP."	1990	7074	2.166
"DOMINICAN REP."	1991	7197	2.111
"DOMINICAN REP."	1992	7321	2.25
"DOMINICAN REP."	1993	7545.18	2.273966
"DOMINICAN REP."	1994	7685.48	2.326259
"DOMINICAN REP."	1995	7823	2.396189
"DOMINICAN REP."	1996	7963.58	2.524577
"DOMINICAN REP."	1997	8107.29	2.683487
"DOMINICAN REP."	1998	8254.2	2.828772
"DOMINICAN REP."	1999	NA	3.008888
"JAMAICA"	1962	1669	1.81
"JAMAICA"	1963	1692	1.809
"JAMAICA"	1964	1716	1.98
"JAMAICA"	1965	1741	2.104
"JAMAICA"	1966	1766	2.179
"JAMAICA"	1967	1791	2.234
"JAMAICA"	1968	1816	2.497
"JAMAICA"	1969	1843	2.604
"JAMAICA"	1970	1869	2.645
"JAMAICA"	1971	1896	2.724
"JAMAICA"	1972	1925	3.099
"JAMAICA"	1973	1955	2.838
"JAMAICA"	1974	1985	2.922
"JAMAICA"	1975	2013	2.916
"JAMAICA"	1976	2039	2.787
"JAMAICA"	1977	2063	2.719
"JAMAICA"	1978	2086	2.601
"JAMAICA"	1979	2109	2.508
"JAMAICA"	1980	2133	2.362
"JAMAICA"	1981	2158	2.366
"JAMAICA"	1982	2185	2.389
"JAMAICA"	1983	2211	2.395
"JAMAICA"	1984	2236	2.354
"JAMAICA"	1985	2260	2.215
"JAMAICA"	1986	2282	2.218
"JAMAICA"	1987	2302	2.308
"JAMAICA"	1988	2321	2.443
"JAMAICA"	1989	2339	2.533
"JAMAICA"	1990	2356	2.545
"JAMAICA"	1991	2376	2.44
"JAMAICA"	1992	2470	2.45457
"JAMAICA"	1993	2471.6	2.465977
"JAMAICA"	1994	2496	2.492982
"JAMAICA"	1995	2522.1	2.485498
"JAMAICA"	1996	2538	2.438674
"JAMAICA"	1997	2554	2.374386
"JAMAICA"	1998	2576.66	2.341983
"JAMAICA"	1999	NA	2.312838
"TRINIDAD & TOBAGO"	1962	838	6.002
"TRINIDAD & TOBAGO"	1963	859	6.385
"TRINIDAD & TOBAGO"	1964	884	6.643
"TRINIDAD & TOBAGO"	1965	906	6.428
"TRINIDAD & TOBAGO"	1966	925	6.472
"TRINIDAD & TOBAGO"	1967	939	6.553
"TRINIDAD & TOBAGO"	1968	949	6.186
"TRINIDAD & TOBAGO"	1969	956	7.092
"TRINIDAD & TOBAGO"	1970	971	6.795
"TRINIDAD & TOBAGO"	1971	981	7.349
"TRINIDAD & TOBAGO"	1972	989	7.56
"TRINIDAD & TOBAGO"	1973	995	7.67
"TRINIDAD & TOBAGO"	1974	1003	7.918
"TRINIDAD & TOBAGO"	1975	1012	7.99
"TRINIDAD & TOBAGO"	1976	1023	8.775
"TRINIDAD & TOBAGO"	1977	1037	9.387
"TRINIDAD & TOBAGO"	1978	1051	10.249
"TRINIDAD & TOBAGO"	1979	1067	10.802
"TRINIDAD & TOBAGO"	1980	1082	11.262
"TRINIDAD & TOBAGO"	1981	1097	11.738
"TRINIDAD & TOBAGO"	1982	1113	11.368
"TRINIDAD & TOBAGO"	1983	1129	10.433
"TRINIDAD & TOBAGO"	1984	1144	8.273
"TRINIDAD & TOBAGO"	1985	1160	9.701
"TRINIDAD & TOBAGO"	1986	1176	9.637
"TRINIDAD & TOBAGO"	1987	1191	8.63
"TRINIDAD & TOBAGO"	1988	1206	8.085
"TRINIDAD & TOBAGO"	1989	1221	7.818
"TRINIDAD & TOBAGO"	1990	1236	7.764
"TRINIDAD & TOBAGO"	1991	1253	8.241
"TRINIDAD & TOBAGO"	1992	1260	8.040658
"TRINIDAD & TOBAGO"	1993	1265.04	7.866867
"TRINIDAD & TOBAGO"	1994	1275.75	8.091647
"TRINIDAD & TOBAGO"	1995	1287	8.355069
"TRINIDAD & TOBAGO"	1996	1297	8.619206
"TRINIDAD & TOBAGO"	1997	1307.3	8.834303
"TRINIDAD & TOBAGO"	1998	1317.1	9.20216
"TRINIDAD & TOBAGO"	1999	NA	9.766556
"MEXICO"	1945	22576	1.835
"MEXICO"	1946	23182	1.942
"MEXICO"	1947	23810	2.058
"MEXICO"	1948	24460	2.041
"MEXICO"	1949	25132	2.125
"MEXICO"	1950	27725	2.198
"MEXICO"	1951	28649	2.339
"MEXICO"	1952	29572	2.336
"MEXICO"	1953	30496	2.237
"MEXICO"	1954	31419	2.397
"MEXICO"	1955	32348	2.514
"MEXICO"	1956	33483	2.59
"MEXICO"	1957	34617	2.711
"MEXICO"	1958	35757	2.751
"MEXICO"	1959	36891	2.726
"MEXICO"	1960	38227	2.836
"MEXICO"	1961	39472	2.864
"MEXICO"	1962	40754	2.897
"MEXICO"	1963	42074	3.019
"MEXICO"	1964	43446	3.258
"MEXICO"	1965	44854	3.351
"MEXICO"	1966	46337	3.467
"MEXICO"	1967	47868	3.582
"MEXICO"	1968	49451	3.766
"MEXICO"	1969	51081	3.846
"MEXICO"	1970	52770	3.987
"MEXICO"	1971	51982	4.213
"MEXICO"	1972	53690	4.404
"MEXICO"	1973	55429	4.609
"MEXICO"	1974	57165	4.782
"MEXICO"	1975	58876	4.928
"MEXICO"	1976	60560	4.973
"MEXICO"	1977	62211	4.9
"MEXICO"	1978	63836	5.208
"MEXICO"	1979	65445	5.621
"MEXICO"	1980	67046	6.054
"MEXICO"	1981	68637	6.467
"MEXICO"	1982	70225	5.942
"MEXICO"	1983	71791	5.401
"MEXICO"	1984	73309	5.524
"MEXICO"	1985	74766	5.621
"MEXICO"	1986	76178	5.283
"MEXICO"	1987	77562	5.262
"MEXICO"	1988	78933	5.349
"MEXICO"	1989	80312	5.566
"MEXICO"	1990	81724	5.827
"MEXICO"	1991	83306	6.018
"MEXICO"	1992	84967	6.253
"MEXICO"	1993	87936.02	6.260127
"MEXICO"	1994	89548.69	6.420312
"MEXICO"	1995	91145	5.918668
"MEXICO"	1996	92740.03	6.1278
"MEXICO"	1997	94348.87	6.448306
"MEXICO"	1998	95948.87	6.673046
"MEXICO"	1999	NA	6.81161
"GUATEMALA"	1945	2438	NA
"GUATEMALA"	1946	2498	1.147
"GUATEMALA"	1947	2566	1.227
"GUATEMALA"	1948	2641	1.299
"GUATEMALA"	1949	2724	1.521
"GUATEMALA"	1950	2903	1.532
"GUATEMALA"	1951	2993	1.516
"GUATEMALA"	1952	3084	1.496
"GUATEMALA"	1953	3174	1.51
"GUATEMALA"	1954	3265	1.513
"GUATEMALA"	1955	3355	1.483
"GUATEMALA"	1956	3461	1.557
"GUATEMALA"	1957	3567	1.597
"GUATEMALA"	1958	3674	1.629
"GUATEMALA"	1959	3780	1.647
"GUATEMALA"	1960	3887	1.66
"GUATEMALA"	1961	4006	1.686
"GUATEMALA"	1962	4130	1.694
"GUATEMALA"	1963	4257	1.739
"GUATEMALA"	1964	4388	1.771
"GUATEMALA"	1965	4523	1.781
"GUATEMALA"	1966	4659	1.8
"GUATEMALA"	1967	4799	1.835
"GUATEMALA"	1968	4944	1.906
"GUATEMALA"	1969	5093	1.945
"GUATEMALA"	1970	5246	2.028
"GUATEMALA"	1971	5393	2.07
"GUATEMALA"	1972	5544	2.125
"GUATEMALA"	1973	5699	2.193
"GUATEMALA"	1974	5859	2.26
"GUATEMALA"	1975	6023	2.241
"GUATEMALA"	1976	6192	2.395
"GUATEMALA"	1977	6365	2.517
"GUATEMALA"	1978	6543	2.576
"GUATEMALA"	1979	6727	2.578
"GUATEMALA"	1980	6917	2.574
"GUATEMALA"	1981	7113	2.534
"GUATEMALA"	1982	7315	2.349
"GUATEMALA"	1983	7524	2.214
"GUATEMALA"	1984	7740	2.185
"GUATEMALA"	1985	7963	2.09
"GUATEMALA"	1986	8194	2.037
"GUATEMALA"	1987	8434	2.104
"GUATEMALA"	1988	8681	2.125
"GUATEMALA"	1989	8935	2.137
"GUATEMALA"	1990	9197	2.127
"GUATEMALA"	1991	9467	2.151
"GUATEMALA"	1992	9742	2.247
"GUATEMALA"	1993	9460.14	2.274951
"GUATEMALA"	1994	9715.53	2.305494
"GUATEMALA"	1995	9976	2.35669
"GUATEMALA"	1996	10243.19	2.363124
"GUATEMALA"	1997	10518.74	2.402023
"GUATEMALA"	1998	10800.18	2.456112
"GUATEMALA"	1999	NA	2.479059
"HONDURAS"	1945	1261	NA
"HONDURAS"	1946	1287	0.898
"HONDURAS"	1947	1320	0.913
"HONDURAS"	1948	1353	0.928
"HONDURAS"	1949	1389	0.952
"HONDURAS"	1950	1395	0.981
"HONDURAS"	1951	1443	0.997
"HONDURAS"	1952	1491	1.013
"HONDURAS"	1953	1539	1.047
"HONDURAS"	1954	1587	0.981
"HONDURAS"	1955	1636	0.988
"HONDURAS"	1956	1695	1.03
"HONDURAS"	1957	1755	1.068
"HONDURAS"	1958	1814	1.053
"HONDURAS"	1959	1873	1.052
"HONDURAS"	1960	1934	1.039
"HONDURAS"	1961	2001	1.031
"HONDURAS"	1962	2071	1.046
"HONDURAS"	1963	2142	1.052
"HONDURAS"	1964	2217	1.076
"HONDURAS"	1965	2294	1.121
"HONDURAS"	1966	2356	1.15
"HONDURAS"	1967	2422	1.168
"HONDURAS"	1968	2489	1.207
"HONDURAS"	1969	2556	1.19
"HONDURAS"	1970	2627	1.237
"HONDURAS"	1971	2706	1.239
"HONDURAS"	1972	2792	1.275
"HONDURAS"	1973	2884	1.32
"HONDURAS"	1974	2980	1.266
"HONDURAS"	1975	3081	1.274
"HONDURAS"	1976	3186	1.378
"HONDURAS"	1977	3296	1.471
"HONDURAS"	1978	3411	1.533
"HONDURAS"	1979	3533	1.532
"HONDURAS"	1980	3662	1.519
"HONDURAS"	1981	3798	1.503
"HONDURAS"	1982	3941	1.439
"HONDURAS"	1983	4089	1.374
"HONDURAS"	1984	4237	1.381
"HONDURAS"	1985	4383	1.387
"HONDURAS"	1986	4528	1.381
"HONDURAS"	1987	4672	1.4
"HONDURAS"	1988	4815	1.417
"HONDURAS"	1989	4959	1.432
"HONDURAS"	1990	5105	1.377
"HONDURAS"	1991	5259	1.364
"HONDURAS"	1992	5418	1.385
"HONDURAS"	1993	5332.41	1.428196
"HONDURAS"	1994	5492.62	1.36881
"HONDURAS"	1995	5654	1.384262
"HONDURAS"	1996	5817.9	1.394384
"HONDURAS"	1997	5985.67	1.4243
"HONDURAS"	1998	6155.29	1.426301
"HONDURAS"	1999	NA	1.36217
"EL SALVADOR"	1945	1742	NA
"EL SALVADOR"	1946	1764	0.934
"EL SALVADOR"	1947	1788	1.013
"EL SALVADOR"	1948	1811	1.082
"EL SALVADOR"	1949	1835	1.14
"EL SALVADOR"	1950	1943	1.206
"EL SALVADOR"	1951	1999	1.223
"EL SALVADOR"	1952	2054	1.278
"EL SALVADOR"	1953	2110	1.34
"EL SALVADOR"	1954	2166	1.356
"EL SALVADOR"	1955	2222	1.388
"EL SALVADOR"	1956	2293	1.426
"EL SALVADOR"	1957	2364	1.451
"EL SALVADOR"	1958	2436	1.425
"EL SALVADOR"	1959	2507	1.419
"EL SALVADOR"	1960	2578	1.427
"EL SALVADOR"	1961	2659	1.407
"EL SALVADOR"	1962	2743	1.578
"EL SALVADOR"	1963	2830	1.619
"EL SALVADOR"	1964	2918	1.69
"EL SALVADOR"	1965	3010	1.739
"EL SALVADOR"	1966	3117	1.808
"EL SALVADOR"	1967	3230	1.835
"EL SALVADOR"	1968	3345	1.854
"EL SALVADOR"	1969	3464	1.851
"EL SALVADOR"	1970	3588	1.81
"EL SALVADOR"	1971	3696	1.815
"EL SALVADOR"	1972	3798	1.882
"EL SALVADOR"	1973	3894	1.957
"EL SALVADOR"	1974	3989	1.985
"EL SALVADOR"	1975	4085	2.035
"EL SALVADOR"	1976	4181	2.133
"EL SALVADOR"	1977	4279	2.244
"EL SALVADOR"	1978	4374	2.33
"EL SALVADOR"	1979	4457	2.228
"EL SALVADOR"	1980	4525	2.014
"EL SALVADOR"	1981	4579	1.863
"EL SALVADOR"	1982	4617	1.744
"EL SALVADOR"	1983	4649	1.748
"EL SALVADOR"	1984	4687	1.787
"EL SALVADOR"	1985	4739	1.831
"EL SALVADOR"	1986	4846	1.813
"EL SALVADOR"	1987	4934	1.822
"EL SALVADOR"	1988	4967	1.842
"EL SALVADOR"	1989	5065	1.822
"EL SALVADOR"	1990	5172	1.824
"EL SALVADOR"	1991	5278	1.853
"EL SALVADOR"	1992	5380	1.876
"EL SALVADOR"	1993	5421.3	1.972873
"EL SALVADOR"	1994	5540.86	2.047081
"EL SALVADOR"	1995	5669	2.128771
"EL SALVADOR"	1996	5798	2.120574
"EL SALVADOR"	1997	5927.78	2.164609
"EL SALVADOR"	1998	6058.26	2.194194
"EL SALVADOR"	1999	NA	2.225727
"NICARAGUA"	1945	923	NA
"NICARAGUA"	1946	949	0.783
"NICARAGUA"	1947	977	0.864
"NICARAGUA"	1948	1001	0.937
"NICARAGUA"	1949	1028	1.18
"NICARAGUA"	1950	1241	1.152
"NICARAGUA"	1951	1278	1.235
"NICARAGUA"	1952	1316	1.414
"NICARAGUA"	1953	1354	1.446
"NICARAGUA"	1954	1392	1.593
"NICARAGUA"	1955	1430	1.62
"NICARAGUA"	1956	1473	1.578
"NICARAGUA"	1957	1517	1.651
"NICARAGUA"	1958	1560	1.604
"NICARAGUA"	1959	1603	1.481
"NICARAGUA"	1960	1578	1.606
"NICARAGUA"	1961	1625	1.684
"NICARAGUA"	1962	1674	1.826
"NICARAGUA"	1963	1724	1.928
"NICARAGUA"	1964	1766	2.083
"NICARAGUA"	1965	1804	2.246
"NICARAGUA"	1966	1848	2.272
"NICARAGUA"	1967	1895	2.427
"NICARAGUA"	1968	1945	2.339
"NICARAGUA"	1969	1998	2.343
"NICARAGUA"	1970	2053	2.359
"NICARAGUA"	1971	2132	2.344
"NICARAGUA"	1972	2204	2.278
"NICARAGUA"	1973	2277	2.357
"NICARAGUA"	1974	2352	2.629
"NICARAGUA"	1975	2426	2.531
"NICARAGUA"	1976	2500	2.581
"NICARAGUA"	1977	2573	2.761
"NICARAGUA"	1978	2647	2.459
"NICARAGUA"	1979	2723	1.707
"NICARAGUA"	1980	2802	1.853
"NICARAGUA"	1981	2884	1.889
"NICARAGUA"	1982	2969	1.839
"NICARAGUA"	1983	3056	1.919
"NICARAGUA"	1984	3143	1.889
"NICARAGUA"	1985	3229	1.79
"NICARAGUA"	1986	3314	1.729
"NICARAGUA"	1987	3401	1.719
"NICARAGUA"	1988	3489	1.43
"NICARAGUA"	1989	3580	1.324
"NICARAGUA"	1990	3676	1.294
"NICARAGUA"	1991	3999	1.252771
"NICARAGUA"	1992	4130	1.220764
"NICARAGUA"	1993	4180.9	1.181185
"NICARAGUA"	1994	4302.97	1.186429
"NICARAGUA"	1995	4426	1.203759
"NICARAGUA"	1996	4550.43	1.227337
"NICARAGUA"	1997	4676.7	1.256081
"NICARAGUA"	1998	4804.14	1.273452
"NICARAGUA"	1999	NA	1.328577
"COSTARICA"	1945	695	NA
"COSTARICA"	1946	725	1.249
"COSTARICA"	1947	766	1.335
"COSTARICA"	1948	808	1.411
"COSTARICA"	1949	832	1.677
"COSTARICA"	1950	858	1.457
"COSTARICA"	1951	891	1.464
"COSTARICA"	1952	924	1.618
"COSTARICA"	1953	958	1.832
"COSTARICA"	1954	991	1.841
"COSTARICA"	1955	1024	1.972
"COSTARICA"	1956	1066	1.871
"COSTARICA"	1957	1109	1.934
"COSTARICA"	1958	1151	2.053
"COSTARICA"	1959	1194	2.05
"COSTARICA"	1960	1254	2.096
"COSTARICA"	1961	1298	2.115
"COSTARICA"	1962	1343	2.173
"COSTARICA"	1963	1391	2.27
"COSTARICA"	1964	1439	2.291
"COSTARICA"	1965	1490	2.459
"COSTARICA"	1966	1541	2.552
"COSTARICA"	1967	1590	2.598
"COSTARICA"	1968	1634	2.672
"COSTARICA"	1969	1685	2.732
"COSTARICA"	1970	1727	2.904
"COSTARICA"	1971	1778	2.974
"COSTARICA"	1972	1823	3.103
"COSTARICA"	1973	1868	3.232
"COSTARICA"	1974	1916	3.329
"COSTARICA"	1975	1968	3.309
"COSTARICA"	1976	2024	3.403
"COSTARICA"	1977	2085	3.649
"COSTARICA"	1978	2149	3.765
"COSTARICA"	1979	2216	3.821
"COSTARICA"	1980	2284	3.717
"COSTARICA"	1981	2354	3.419
"COSTARICA"	1982	2425	3.077
"COSTARICA"	1983	2498	3.081
"COSTARICA"	1984	2570	3.213
"COSTARICA"	1985	2642	3.184
"COSTARICA"	1986	2713	3.273
"COSTARICA"	1987	2784	3.335
"COSTARICA"	1988	2854	3.345
"COSTARICA"	1989	2924	3.451
"COSTARICA"	1990	2994	3.499
"COSTARICA"	1991	3064	3.445
"COSTARICA"	1992	3193	3.569
"COSTARICA"	1993	3233	3.713109
"COSTARICA"	1994	3304	3.815844
"COSTARICA"	1995	3374	3.890055
"COSTARICA"	1996	3420	3.828676
"COSTARICA"	1997	3464	3.973689
"COSTARICA"	1998	3520.06	4.215684
"COSTARICA"	1999	NA	4.471827
"PANAMA"	1945	703	NA
"PANAMA"	1946	721	1.071
"PANAMA"	1947	739	1.102
"PANAMA"	1948	767	1.131
"PANAMA"	1949	788	1.169
"PANAMA"	1950	863	1.309
"PANAMA"	1951	888	1.237
"PANAMA"	1952	914	1.33
"PANAMA"	1953	940	1.333
"PANAMA"	1954	965	1.351
"PANAMA"	1955	991	1.362
"PANAMA"	1956	1022	1.404
"PANAMA"	1957	1053	1.493
"PANAMA"	1958	1084	1.487
"PANAMA"	1959	1115	1.513
"PANAMA"	1960	1145	1.575
"PANAMA"	1961	1180	1.69
"PANAMA"	1962	1215	1.78
"PANAMA"	1963	1251	1.886
"PANAMA"	1964	1288	1.908
"PANAMA"	1965	1327	2.014
"PANAMA"	1966	1366	2.117
"PANAMA"	1967	1405	2.233
"PANAMA"	1968	1446	2.314
"PANAMA"	1969	1488	2.434
"PANAMA"	1970	1531	2.584
"PANAMA"	1971	1574	2.772
"PANAMA"	1972	1618	2.855
"PANAMA"	1973	1662	2.903
"PANAMA"	1974	1705	2.919
"PANAMA"	1975	1748	2.884
"PANAMA"	1976	1790	2.854
"PANAMA"	1977	1831	2.793
"PANAMA"	1978	1872	3.004
"PANAMA"	1979	1914	3.062
"PANAMA"	1980	1956	3.392
"PANAMA"	1981	1999	3.492
"PANAMA"	1982	2043	3.593
"PANAMA"	1983	2088	3.48
"PANAMA"	1984	2134	3.437
"PANAMA"	1985	2180	3.499
"PANAMA"	1986	2227	3.532
"PANAMA"	1987	2274	3.538
"PANAMA"	1988	2322	2.811
